benchmark,name,M,S,gemm_M,K,gemm_N,shape,avg_ms,status,note,tflops,tbps,fpb
dsa_indexer,index_k_proj,16,65536,65536,6144,128,"[65536,6144]×[6144,128]",0.5661746501922608,OK,,182.06257568931517,0.7422035441842961,245.30006238303181
dsa_indexer,index_q_upproj,16,65536,16,2048,4096,"[16,2048]×[2048,4096]",0.00933395028114319,OK,,28.759040697088757,0.9162731472094928,31.386973180076627
dsa_indexer,index_weights_proj,16,65536,16,6144,32,"[16,6144]×[6144,32]",0.028424501419067383,OK,,0.2213391857694869,0.010411299591045203,21.259515570934255
dsa_indexer,index_score,16,65536,512,128,65536,"[512,128]×[128,65536]",0.10825380086898803,OK,,79.34995836678098,0.6980171355964545,113.67909800520381
dsa_indexer,index_k_proj,16,131072,131072,6144,128,"[131072,6144]×[6144,128]",1.2730706214904786,OK,,161.93793708524592,0.6595448970591768,245.52981579768968
dsa_indexer,index_q_upproj,16,131072,16,2048,4096,"[16,2048]×[2048,4096]",0.04070079922676086,OK,,6.595336236628571,0.21012973117188194,31.386973180076627
dsa_indexer,index_weights_proj,16,131072,16,6144,32,"[16,6144]×[6144,32]",0.010117100179195404,OK,,0.6218635664928593,0.029251069452544978,21.259515570934255
dsa_indexer,index_score,16,131072,512,128,131072,"[512,128]×[128,131072]",0.12937334775924683,OK,,132.79295528450206,1.1676321484786119,113.72841648590021
dsa_indexer,index_k_proj,16,262144,262144,6144,128,"[262144,6144]×[6144,128]",4.594322586059571,OK,,89.74486503561633,0.3653439654178946,245.64485397469937
dsa_indexer,index_q_upproj,16,262144,16,2048,4096,"[16,2048]×[2048,4096]",0.013548199832439423,OK,,19.813367039159388,0.6312608395044678,31.386973180076627
dsa_indexer,index_weights_proj,16,262144,16,6144,32,"[16,6144]×[6144,32]",0.046703800559043884,OK,,0.13470972222156127,0.0063364436396535165,21.259515570934255
dsa_indexer,index_score,16,262144,512,128,262144,"[512,128]×[128,262144]",0.2749188423156738,OK,,124.9813875199818,1.0987076093284533,113.75309177695813
dsa_indexer,index_k_proj,256,65536,65536,6144,128,"[65536,6144]×[6144,128]",0.7458627223968506,OK,,138.20132312384789,0.5633970158069055,245.30006238303181
dsa_indexer,index_q_upproj,256,65536,256,2048,4096,"[256,2048]×[2048,4096]",0.08556990027427673,OK,,50.19250089381155,0.1286672996545462,390.0952380952381
dsa_indexer,index_weights_proj,256,65536,256,6144,32,"[256,6144]×[6144,32]",0.05019299983978272,OK,,2.00552460146474,0.035579782154892034,56.36697247706422
dsa_indexer,index_score,256,65536,8192,128,65536,"[8192,128]×[128,65536]",0.6957678318023681,OK,,197.53565369063995,1.5568109913820727,126.88480154888674
dsa_indexer,index_k_proj,256,131072,131072,6144,128,"[131072,6144]×[6144,128]",1.330714797973633,OK,,154.92307632103515,0.630974595967961,245.52981579768968
dsa_indexer,index_q_upproj,256,131072,256,2048,4096,"[256,2048]×[2048,4096]",0.09216774702072143,OK,,46.59946060127077,0.11945662507649979,390.0952380952381
dsa_indexer,index_weights_proj,256,131072,256,6144,32,"[256,6144]×[6144,32]",0.05135474801063537,OK,,1.9601555824819354,0.034774895587651525,56.36697247706422
dsa_indexer,index_score,256,131072,8192,128,131072,"[8192,128]×[128,131072]",1.2393221855163574,OK,,221.79697108341,1.7471723376741088,126.94624697336562
dsa_indexer,index_k_proj,256,262144,262144,6144,128,"[262144,6144]×[6144,128]",2.5208253860473633,OK,,163.56422888239393,0.6658565251248476,245.64485397469937
dsa_indexer,index_q_upproj,256,262144,256,2048,4096,"[256,2048]×[2048,4096]",0.08722234964370727,OK,,49.24159133002517,0.12622966527472274,390.0952380952381
dsa_indexer,index_weights_proj,256,262144,256,6144,32,"[256,6144]×[6144,32]",0.049277651309967044,OK,,2.0427778784911275,0.036240688274012514,56.36697247706422
dsa_indexer,index_score,256,262144,8192,128,262144,"[8192,128]×[128,262144]",1.8411615371704102,OK,,298.59184150288763,2.351542880183073,126.97699200775006
dsa_indexer,index_k_proj,512,65536,65536,6144,128,"[65536,6144]×[6144,128]",0.7432788372039795,OK,,138.68175702641693,0.5653555717807677,245.30006238303181
dsa_indexer,index_q_upproj,512,65536,512,2048,4096,"[512,2048]×[2048,4096]",0.09466149806976318,OK,,90.74370010148616,0.14400245377433105,630.1538461538462
dsa_indexer,index_weights_proj,512,65536,512,6144,32,"[512,6144]×[6144,32]",0.03841339945793152,OK,,5.24105116550497,0.08786267416129752,59.650485436893206
dsa_indexer,index_score,512,65536,16384,128,65536,"[16384,128]×[128,65536]",1.8048294067382813,OK,,152.30132328171894,1.1956639225531678,127.37803692905733
dsa_indexer,index_k_proj,512,131072,131072,6144,128,"[131072,6144]×[6144,128]",2.0718944549560545,OK,,99.50238040111589,0.405255793793709,245.52981579768968
dsa_indexer,index_q_upproj,512,131072,512,2048,4096,"[512,2048]×[2048,4096]",0.2786384105682373,OK,,30.8282500409123,0.04892178351218993,630.1538461538462
dsa_indexer,index_weights_proj,512,131072,512,6144,32,"[512,6144]×[6144,32]",0.3325770616531372,OK,,0.60535321046878,0.010148336698939508,59.650485436893206
dsa_indexer,index_score,512,131072,16384,128,131072,"[16384,128]×[128,131072]",2.374392509460449,OK,,231.5353555478176,1.816819100806659,127.4399611084103
dsa_indexer,index_k_proj,512,262144,262144,6144,128,"[262144,6144]×[6144,128]",3.2991413116455077,OK,,124.9770232516501,0.5087711842093884,245.64485397469937
dsa_indexer,index_q_upproj,512,262144,512,2048,4096,"[512,2048]×[2048,4096]",0.3304438591003418,OK,,25.99514064321468,0.041252054243382665,630.1538461538462
dsa_indexer,index_weights_proj,512,262144,512,6144,32,"[512,6144]×[6144,32]",0.3237518548965454,OK,,0.6218546363675159,0.010424971931291363,59.650485436893206
dsa_indexer,index_score,512,262144,16384,128,262144,"[16384,128]×[128,262144]",4.047250366210937,OK,,271.6687944376839,2.1312212973064306,127.47094578166788
dsa_indexer,index_k_proj,1024,65536,65536,6144,128,"[65536,6144]×[6144,128]",1.2157089233398437,OK,,84.78938759519566,0.3456557930376654,245.30006238303181
dsa_indexer,index_q_upproj,1024,65536,1024,2048,4096,"[1024,2048]×[2048,4096]",0.33227856159210206,OK,,51.703212815425736,0.05680284611069721,910.2222222222222
dsa_indexer,index_weights_proj,1024,65536,1024,6144,32,"[1024,6144]×[6144,32]",0.2576149940490723,OK,,1.5630036810796029,0.025439513038404995,61.44
dsa_indexer,index_score,1024,65536,32768,128,65536,"[32768,128]×[128,65536]",2.3459423065185545,OK,,234.34327961110574,1.836170563969464,127.62609542356378
dsa_indexer,index_k_proj,1024,131072,131072,6144,128,"[131072,6144]×[6144,128]",2.085162353515625,OK,,98.86924625337339,0.40267714913629526,245.52981579768968
dsa_indexer,index_q_upproj,1024,131072,1024,2048,4096,"[1024,2048]×[2048,4096]",0.3549985408782959,OK,,48.394196611331346,0.05316745233178493,910.2222222222222
dsa_indexer,index_weights_proj,1024,131072,1024,6144,32,"[1024,6144]×[6144,32]",0.32890355587005615,OK,,1.2242287345749492,0.01992559789347248,61.44
dsa_indexer,index_score,1024,131072,32768,128,131072,"[32768,128]×[128,131072]",4.14752311706543,OK,,265.10078346566445,2.076156266994511,127.68826108134438
dsa_indexer,index_k_proj,1024,262144,262144,6144,128,"[262144,6144]×[6144,128]",3.9413867950439454,OK,,104.61212813075423,0.4258673708732728,245.64485397469937
dsa_indexer,index_q_upproj,1024,262144,1024,2048,4096,"[1024,2048]×[2048,4096]",0.3485990047454834,OK,,49.282611109412784,0.054143493650477915,910.2222222222222
dsa_indexer,index_weights_proj,1024,262144,1024,6144,32,"[1024,6144]×[6144,32]",0.3264458417892456,OK,,1.2334455902181594,0.020075611819957023,61.44
dsa_indexer,index_score,1024,262144,32768,128,262144,"[32768,128]×[128,262144]",7.3921257019042965,OK,,297.4818535601344,2.32918359539862,127.71936662606578
